MCAT ID,MCAT Name,decoded_keyword,pageviews
6472,Commercial Atta Chakki Machine,atta chakki machine,27
6472,Commercial Atta Chakki Machine,commercial atta chakki machine,22
6472,Commercial Atta Chakki Machine,flour mill machine,10
6472,Commercial Atta Chakki Machine,aata chakki machine,9
6472,Commercial Atta Chakki Machine,commercial flour mill machine,9
6472,Commercial Atta Chakki Machine,10 inch regular flour mill,6
6472,Commercial Atta Chakki Machine,flour grinding machine,6
6472,Commercial Atta Chakki Machine,aata machine,5
6472,Commercial Atta Chakki Machine,atta machine,5
6472,Commercial Atta Chakki Machine,chakki machine,5
6472,Commercial Atta Chakki Machine,commercial atta chakki,5
6472,Commercial Atta Chakki Machine,commercial atta chakki machine 16 inch,5
6472,Commercial Atta Chakki Machine,commercial flour mill,5
6472,Commercial Atta Chakki Machine,commercial flour mill machine bihar,5
6472,Commercial Atta Chakki Machine,flour milling machine,5
6472,Commercial Atta Chakki Machine,millet flour machine,5
6472,Commercial Atta Chakki Machine,16 inch commercial aata chakki bearing katori,4
6472,Commercial Atta Chakki Machine,18 inch commercial atta chakki machine,4
6472,Commercial Atta Chakki Machine,atta grinding machine,4
6472,Commercial Atta Chakki Machine,atta gudane ki machine,4
6472,Commercial Atta Chakki Machine,commercial 18"" 10 hp atta chakki machine,4
6472,Commercial Atta Chakki Machine,commercial aata chakki,4
6472,Commercial Atta Chakki Machine,commercial atta chakki machine in ambala,4
6472,Commercial Atta Chakki Machine,gokul flour mill machine,4
